singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
z83zJRBfSp,125.0,8.0,,,,3,QfAaTjZ3v6,Seated Back Extension,c6J6ysvb92,2017-02-15,fake_id_409
2O56j9vrss,0.0,10.0,,,,4,2teBRWJpfh,Jackknife Sit-Up,UVfntrVxza,2016-12-17,fake_id_409
FU8ucj5AGy,0.0,12.0,,,,3,LRJF4cbQc5,Decline Reverse Crunch,5FCw94ZFqt,2016-12-20,fake_id_409
wFxF45dKxJ,167.0,14.0,,,,4,YVjA3SVe4Q,Sit Up,OTd45eGqie,2017-01-05,fake_id_410
ulaeQ8IRw8,22.5,7.0,,,,1,tehh7FQEUC,Dumbbell Lateral Raise,f2ENGz61Ly,2017-01-11,fake_id_410
B5CByRpQH3,95.0,7.0,,,,4,errvOcZYZL,Olympic Squat,PMHayGiqkq,2016-09-23,fake_id_410
NOKMD7P6Eh,20.0,5.0,,,,5,GBG9ItWMnp,Incline Dumbbell Curl,GvjSpgje6G,2017-01-19,fake_id_409
VH5Z1H9Wr1,25.0,11.0,,,,1,7pHNI0YvHF,Dumbbell Incline Fly,rjDZ0vRWs4,2017-03-08,fake_id_410
ZSuVu7k0XW,35.0,8.0,,,,3,hpnswF6zjm,Dumbbell Curl,rJSXR0F5R9,2016-11-23,fake_id_410
HhqfA3JoDd,10.0,12.0,,,,1,VNsLPjnBDJ,Lunge,cWO6YYlkli,2017-01-04,fake_id_409
MzokjC2bt5,0.0,12.0,,,,3,vmws18BJlY,Exercise Ball Crunch,mV2F4JTzHz,2016-12-11,fake_id_409
VorPwGBRac,55.0,15.0,,,,2,NpOlxfOxzA,Smith Machine Bench Press,tV7uTNrXSM,2017-01-20,fake_id_409
nwSQduCTaO,0.0,10.0,,,,2,Q3kGJ4TvtW,Flutter Kicks,zX12yZAriQ,2017-05-12,fake_id_409
TK4dTWQ7tP,20.0,6.0,,,,4,5J6uxVXcDe,Dumbbell Step Up,jPXpxMEtG6,2017-04-19,fake_id_411
WPA6rYV0iu,0.0,0.0,6300.0,1500.0,0.0,1,28OEVFb7GS,Running - Treadmill,W71TYNOx5L,2018-06-16,fake_id_412
fSbYMfvJ8n,0.0,18.0,0.0,0.0,0.0,3,rQpRUUCXus,Glute Ham Raise,78Zc3FGZoB,2019-07-20,fake_id_409
rcQvYMjzwc,0.0,10.0,0.0,0.0,0.0,3,DTQBzkcnXr,Tricep Push Up,YStnBw4EuI,2019-01-07,fake_id_413
yOMfGxlFPu,0.0,15.0,0.0,0.0,0.0,4,rGHNapUKYj,Hanging Knee Raise,GZUctFzB7U,2019-07-29,fake_id_414
5FAzuAIGYQ,9.0,6.0,0.0,0.0,0.0,2,y2VpNAGrPl,Biceps Curl To Shoulder Press,SdOJoMfd2C,2018-05-03,fake_id_415
wJaqnMj9yg,0.0,24.0,0.0,0.0,0.0,1,NBa0CvxaNM,Decline Crunch,ClEBi7r0xN,2019-07-11,fake_id_414
q4OU0yMS6s,18.14371637742559,12.0,0.0,0.0,0.0,1,jojin8D95J,Preacher Curl,t4x9eI9FPB,2019-01-13,fake_id_413
QWearQeuKG,58.96707822663317,15.0,0.0,0.0,0.0,2,CFTxRgljq3,Machine Leg Press,dwJEjYK5fH,2019-01-10,fake_id_416
yFbKs005TB,104.32636917019714,12.0,0.0,0.0,0.0,2,a3y3n9Oqj7,Machine Leg Press,MK5IQDw8pt,2018-04-16,fake_id_417
pxRlunuB7r,30.0,10.0,0.0,0.0,0.0,2,v9OV904uCN,Preacher Curl,nijnx7a90v,2018-03-22,fake_id_415
RFmXpNevTH,0.0,12.0,0.0,0.0,0.0,2,bf4tW9tK6u,Reverse Lunge,7WQmg8EPsu,2019-07-10,fake_id_414
6sCQpt2aNd,31.75150366049478,10.0,0.0,0.0,0.0,1,ijKgmnSwJl,Machine Shoulder Press,2SBDqRx1sB,2019-08-30,fake_id_414
L5vpFwHjBN,0.0,4.0,0.0,0.0,0.0,3,dkPQCyAYk0,Chin Up,T3UNrfTeP0,2018-02-02,fake_id_417
LbxDCOP6NY,4.535929094356399,8.0,0.0,0.0,0.0,3,25fWuVo7CF,Dumbbell Floor Press,XLeHdL5jid,2018-06-07,fake_id_418
bZCf2FFAUe,0.0,18.0,0.0,0.0,0.0,2,WpOkpldTWd,Leg Raises with Stability Ball,9C6sHRgfzs,2019-01-28,fake_id_413
J717q3k5mj,83.91468824559335,5.0,0.0,0.0,0.0,4,BGU0KVEBhU,Barbell Decline Bench Press,9C6sHRgfzs,2019-01-28,fake_id_413
kfHkOfFoz8,4.535929094356399,15.0,0.0,0.0,0.0,1,83TwyC84I6,Concentration Curl,SYe1eFRYVa,2019-01-27,fake_id_416
1MncATYMTX,0.0,10.0,0.0,0.0,0.0,3,kPO3mRpE7B,Incline Push Up,Sqm7K7zdFF,2019-07-04,fake_id_419
5escNR10I4,20.41168092460379,10.0,0.0,0.0,0.0,1,fnFmAXwDe5,Floor Press,2Id8HS88q0,2019-07-29,fake_id_419
X4XC2NiYCA,0.0,10.0,0.0,0.0,0.0,2,LaPPsNHOuo,Wide Grip Pull Up,HMHYZv3MOh,2019-08-14,fake_id_414
opP7MtV3BU,0.0,8.0,0.0,0.0,0.0,1,5o2QlqtTR8,Hanging Leg Raise,aORcqQvjpu,2019-07-21,fake_id_419
LEMzlHpbBJ,43.091326396385774,8.0,0.0,0.0,0.0,1,zPu2LFu0hk,Hammerstrength High Row,zZEzax0qmM,2019-08-30,fake_id_419
3oIrCTsFFu,0.0,0.0,10100.0,3000.0,0.0,1,qHbz8KwhqJ,Running,pmn61eAe7j,2018-08-03,fake_id_412
rogLcXBST0,4.535929094356399,10.0,0.0,0.0,0.0,2,d9kFXUBW1g,Medicine Ball Slam,IGMs3NQCcK,2018-08-14,fake_id_420
ghlMDlHGfp,0.0,30.0,0.0,0.0,0.0,3,nB5VBYzEQL,Oblique Crunch,8lHWChfOtv,2018-08-25,fake_id_421
2M6C6U7k4F,11.339822735890994,15.0,0.0,0.0,0.0,3,4NhBEHCFF8,Stiff-Legged Barbell Good Morning,N5bWyAndTD,2018-05-11,fake_id_409
S9L3gdEtTP,20.41168092460379,8.0,0.0,0.0,0.0,2,0r6BHpF8BC,Landmine Squat to Press,pXJdNTgxi7,2019-09-03,fake_id_419
Clcqot06WT,4.535929094356399,12.0,0.0,0.0,0.0,3,mBr4dAu9CJ,Front Plate Raise,TT5nRi6lSl,2019-06-06,fake_id_416
DCQoGA2VRC,55.0,6.0,0.0,0.0,0.0,4,g0ij1S7nh7,Barbell Step Up,JyVtVKc8w9,2018-05-06,fake_id_412
Q6BBD5P7U8,83.91468824559335,3.0,0.0,0.0,0.0,2,iq2cbOcL2p,Snatch-Grip Deadlift,cr6FdFJJ4i,2018-08-29,fake_id_422
dmtyDTz2c1,20.41168092460379,8.0,0.0,0.0,0.0,2,nNSHoYpLtn,Dumbbell Curl,84AHDA2QlT,2019-08-07,fake_id_414
77Mug8OSmf,0.0,20.0,0.0,0.0,0.0,2,tcjZtyM1UA,Reverse Crunch,84AHDA2QlT,2019-08-07,fake_id_414
H8bjHBwdSo,50.0,15.0,0.0,0.0,0.0,3,5ncROuJbY9,Machine Tricep Dip,fW2yER6Dar,2018-04-30,fake_id_415
cqHwqv4WjP,52.16318458509857,12.0,0.0,0.0,0.0,5,j3m7x7h4mc,Reverse Grip Barbell Bent Over Row,BA7YftUFab,2019-08-25,fake_id_419
hdX5LUbmVG,36.28743275485118,5.0,0.0,0.0,0.0,2,j3m7x7h4mc,Reverse Grip Barbell Bent Over Row,BA7YftUFab,2019-08-25,fake_id_419
